code,name,type,manager,company
001357,泓德泓富混合A,混合型,邬传雁,泓德基金
001358,宝盈祥泰养老混合,混合型,陈若劲,宝盈基金
001359,国联安添鑫灵活配置混合A,混合型,薛琳,国联安基金
001361,景顺中证TMT150ETF,联接基金,江科宏,景顺长城基金
001362,景顺长城领先回报混合A,混合型,万梦,景顺长城基金
001363,长城久惠保本,基金规模,长城基金,基金评级
001364,大成景润灵活配置混合,混合型,黄万青,大成基金
001365,大成正向回报灵活配置混合,混合型,杨挺,大成基金
001366,金鹰产业整合混合,混合型,于利强,金鹰基金
001367,德邦新添利债券A,债券型,许文波,德邦基金
001368,兴业稳固收益一年理财债券,定开债券,徐莹,兴业基金
001369,兴业稳固收益两年理财债券,定开债券,杨逸君,兴业基金
001370,中银新趋势混合,混合型,陈玮,中银基金
001371,富国沪港深价值混合,混合型,张峰,富国基金
001373,易方达新丝路灵活配置混合,混合型,樊正伟,易方达基金
001374,华夏现金增利货币B,货币型,曲波,华夏基金
001375,金元顺安优质精选混合C,混合型,李杰,金元顺安基金
001376,泓德泓富混合C,混合型,邬传雁,泓德基金
001377,中融新产业灵活配置混合A,混合型,姜涛,中融基金
001378,中融新产业灵活配置混合C,混合型,姜涛,中融基金
001379,景顺长城领先回报混合C,混合型,万梦,景顺长城基金
001380,鹏华弘盛混合C,混合型,刘太阳,鹏华基金
001381,鹏华弘泽混合C,混合型,周恩源,鹏华基金
001382,易方达国企改革混合,混合型,郭杰,易方达基金
001384,东方新思路混合A,混合型,王然,东方基金
001385,东方新思路混合C,混合型,王然,东方基金
001386,天弘弘运宝货币A,货币型,王登峰,天弘基金
001387,中融新经济混合A,混合型,姜涛,中融基金
001388,中融新经济混合C,混合型,姜涛,中融基金
001389,中融新优势混合A,混合型,姜涛,中融基金
001390,中融新优势混合C,混合型,姜涛,中融基金
001391,天弘弘运宝货币B,货币型,王登峰,天弘基金
001392,国富金融地产混合A,混合型,吴西燕,国海富兰克林基金
001393,国富金融地产混合C,混合型,吴西燕,国海富兰克林基金
001394,博时新趋势混合A,混合型,李权胜,博时基金
001395,博时新趋势混合C,混合型,李权胜,博时基金
001396,建信互联网+产业升级股票,股票型,何珅华,建信基金
001397,建信精工制造指数增强,股票指数,叶乐天,建信基金
001398,华泰柏瑞健康生活混合,混合型,吕慧建,华泰柏瑞基金
001399,安信鑫安得利混合A,混合型,庄园,安信基金
